# The drop-in corpus: real pandoc command lines, with their source.
# See README.md in this directory. Tab-separated; %IN% and %OUT% are
# substituted by scripts/dropin.sh.
#id	source	input	args	changed	verbatim
dropin-001	johnmyleswhite/SimpleAintEasy:Makefile	corpus/readme-style.md	-o %OUT%.html %IN%	target pdf -> html (no PDF writer on either side here)	pandoc -o book.pdf book.md
dropin-002	scritcash/scrit-whitepaper:Makefile	corpus/readme-style.md	-o %OUT%.md -s %IN%	-	pandoc -o tmp.md -s README.md
dropin-003	alexei-kouprianov/COVID-19.SPb.monitoring:report.sh	corpus/nested-structures.md	-t html %IN% -o %OUT%.html	-	pandoc -t html texts/SPb.COVID-19.data_critique.md -o texts/SPb.COVID-19.data_critique.html
dropin-004	ddbit/sun-tzu-arte-cyber-guerra:build.sh	corpus/code-and-raw.md	-t html -s %IN% -o %OUT%.html	-	pandoc -t html -s book.tmp -o book.html
dropin-005	nitlang/nit:contrib/nitiwiki/examples/nitiwiki/highlighter.sh	corpus/headings.md	-t html %IN%	the source pipes a document in; here it is named	pandoc -t html
dropin-006	GaloisInc/hacrypto:demonstrations/Makefile	corpus/edge-cases.md	-f markdown -t latex -o %OUT%.tex %IN%	target pdf -> latex (the .tex is what both write; TeX makes the PDF)	pandoc -f markdown -t latex -o readme.pdf readme.md
dropin-007	markruys/gw2pvo:Makefile	corpus/readme-style.md	--from markdown --to rst --output=%OUT%.rst %IN%	-	pandoc --from markdown --to rst --output=README.rst README.md
dropin-008	openresty/openresty.org:v2/Makefile	corpus/headings.md	--from markdown_github-hard_line_breaks --to plain %IN%	-	pandoc --from markdown_github-hard_line_breaks --to plain
dropin-009	OasisLMF/ktools:docs/md/Makefile	corpus/images.md	--from markdown_github --to html --standalone %IN%	-	pandoc --from markdown_github --to html --standalone
dropin-010	lsd-rs/lsd:.github/workflows/CICD.yml	corpus/headings.md	--standalone --to html %IN% -o %OUT%.html	target man -> html (no man writer)	pandoc --standalone --to man doc/lsd.md -o lsd.1
dropin-011	lexchou/swallow:docs/Makefile	corpus/readme-style.md	--from markdown_github --to html --standalone -c dropin/assets/style.css %IN%	-	pandoc --from markdown_github --to html --standalone -c ../../markdown.css
dropin-012	FrangaL/kali-arm:.gitlab-ci.yml	corpus/readme-style.md	--standalone %IN% --css=dropin/assets/style.css --include-in-header=dropin/assets/header.html --output=%OUT%.html	-	pandoc --standalone ./devices.md --css=public.css --include-in-header=./.gitlab/header.html --output=./public/devices.html
